X,Y
77.101852,15.439189
77.12037,15.439189
77.138889,15.439189
77.157407,15.439189
77.175926,15.439189
77.194444,15.439189
77.212963,15.439189
77.231481,15.439189
77.25,15.439189
77.009259,15.457207
77.027778,15.457207
77.046296,15.457207
77.064815,15.457207
77.083333,15.457207
77.101852,15.457207
77.12037,15.457207
77.138889,15.457207
77.157407,15.457207
77.175926,15.457207
77.194444,15.457207
77.212963,15.457207
77.231481,15.457207
77.25,15.457207
77.009259,15.475225
77.027778,15.475225
77.046296,15.475225
77.064815,15.475225
77.083333,15.475225
77.101852,15.475225
77.12037,15.475225
77.138889,15.475225
77.157407,15.475225
77.175926,15.475225
77.194444,15.475225
77.212963,15.475225
77.231481,15.475225
77.25,15.475225
77.009259,15.493242
77.027778,15.493242
77.046296,15.493242
77.064815,15.493242
77.083333,15.493242
77.101852,15.493242
77.12037,15.493242
77.138889,15.493242
77.157407,15.493242
77.175926,15.493242
77.194444,15.493242
77.212963,15.493242
77.231481,15.493242
77.25,15.493242
77.009259,15.00904
77.027778,15.009044
77.046296,15.009046
77.064815,15.009046
77.083333,15.009045
77.101852,15.009043
77.12037,15.009039
77.138889,15.009033
77.157407,15.009026
77.175926,15.009018
77.194444,15.009007
77.212963,15.008996
77.064815,15.027103
77.083333,15.027097
77.101852,15.02709
77.12037,15.027081
77.138889,15.02707
77.157407,15.027058
77.027778,15.099412
77.046296,15.099409
77.064815,15.099404
77.083333,15.099398
77.101852,15.09939
77.12037,15.099381
77.138889,15.09937
77.157407,15.099358
77.175926,15.099344
77.194444,15.099329000000001
77.212963,15.099312
77.231481,15.099294
77.25,15.099276
77.009259,15.117488
77.027778,15.117487
77.046296,15.117484
77.064815,15.117479
77.083333,15.117473
77.101852,15.117465
77.12037,15.117456
77.138889,15.117445
77.157407,15.117433
77.175926,15.117419
77.194444,15.117404
77.212963,15.117387
77.231481,15.117369
77.25,15.117351
77.009259,15.135563
77.027778,15.135562
77.046296,15.135559
77.064815,15.135554
77.083333,15.135548
77.101852,15.13554
77.12037,15.135531
77.138889,15.13552
